Designator,Mid X,Mid Y,Layer,Rotation
C1,144.018000,-40.132000,top,0.000000
C3,117.100000,-83.700000,top,-90.000000
C4,111.365001,-84.792999,top,180.000000
C5,125.590001,-94.792999,top,0.000000
C8,125.730000,-107.188000,top,0.000000
C9,114.554000,-107.188000,top,0.000000
C10,139.200000,-107.188000,top,0.000000
C11,100.190000,-107.188000,top,0.000000
C12,144.018000,-43.307000,top,0.000000
C13,118.394000,-63.767000,top,90.000000
C14,120.904000,-63.767000,top,90.000000
C15,114.554000,-94.501000,top,-90.000000
C16,136.639000,-88.392000,top,180.000000
C17,145.605800,-59.182000,top,180.000000
D1,141.605000,-81.915000,top,180.000000
D2,118.237000,-72.136000,top,0.000000
D3,160.198800,-36.322000,top,0.000000
D4,144.297500,-28.448000,top,0.000000
Q1,141.200000,-60.000000,top,90.000000
Q2,116.500000,-68.200000,top,180.000000
Q3,110.337500,-68.250000,top,0.000000
Q4,134.900000,-64.500000,top,-90.000000
Q5,122.062500,-68.150000,top,180.000000
Q6,130.520400,-64.492900,top,-90.000000
R1,146.015001,-81.792999,top,0.000000
R2,130.175000,-84.773000,top,90.000000
R3,119.590001,-98.617999,top,90.000000
R4,123.090001,-98.617999,top,90.000000
R5,114.590001,-90.967999,top,-90.000000
R6,111.340001,-87.292999,top,180.000000
R7,114.590001,-86.292999,top,-90.000000
R8,130.340001,-102.792999,top,-90.000000
R9,126.165001,-103.542999,top,180.000000
R10,126.340001,-98.542999,top,90.000000
R12,133.985000,-86.442999,top,90.000000
R13,128.090001,-84.792999,top,90.000000
R15,112.200000,-73.100000,top,90.000000
R16,141.200000,-64.900000,top,180.000000
R17,111.340001,-82.042999,top,180.000000
R18,144.335000,-32.258000,top,0.000000
R19,107.950000,-63.055000,top,90.000000
R20,130.048000,-90.869000,top,-90.000000
R21,165.697400,-67.970400,top,0.000000
R23,167.018200,-84.226400,top,-90.000000
U1,121.637602,-87.293000,top,180.000000
U2,146.619000,-63.683300,top,-90.000000
