Designator,Mid X,Mid Y,Layer,Rotation
C1,144.0180,-40.1320,Top,0
C3,117.1000,-83.7000,Top,270
C4,111.3650,-84.7930,Top,180
C5,125.5900,-94.7930,Top,0
C8,125.7300,-107.1880,Top,0
C9,114.5540,-107.1880,Top,0
C10,139.2000,-107.1880,Top,0
C11,100.1900,-107.1880,Top,0
C12,144.0180,-43.3070,Top,0
C13,118.3940,-63.7670,Top,90
C14,120.9040,-63.7670,Top,90
C15,114.5540,-94.5010,Top,270
C16,136.6390,-88.3920,Top,180
C17,145.6058,-59.1820,Top,180
D1,141.6050,-81.9150,Top,180
D2,118.2370,-72.1360,Top,0
D3,160.1988,-36.3220,Top,0
D4,144.2975,-28.4480,Top,0
Q1,141.2000,-60.0000,Top,90
Q2,116.5000,-68.2000,Top,180
Q3,110.3375,-68.2500,Top,0
Q4,134.9000,-64.5000,Top,270
Q5,122.0625,-68.1500,Top,180
Q6,130.5204,-64.4929,Top,270
R1,146.0150,-81.7930,Top,0
R3,119.5900,-98.6180,Top,90
R4,123.0900,-98.6180,Top,90
R5,114.5900,-90.9680,Top,270
R6,111.3400,-87.2930,Top,180
R7,114.5900,-86.2930,Top,270
R8,130.3400,-102.7930,Top,270
R9,126.1650,-103.5430,Top,180
R10,126.3400,-98.5430,Top,90
R12,133.9850,-86.4430,Top,90
R13,128.0900,-84.7930,Top,90
R15,112.2000,-73.1000,Top,90
R16,141.2000,-64.9000,Top,180
R17,111.3400,-82.0430,Top,180
R18,144.3350,-32.2580,Top,0
R20,130.0480,-90.8690,Top,270
R21,160.7698,-88.3920,Top,0
R23,166.2298,-88.3920,Top,180
U1,121.6376,-87.2930,Top,180
U2,146.6190,-63.6833,Top,270
