Reference,Value,Footprint,DigikeyPN,MPN,LCSC
C6,4.7n,Capacitor_THT:C_Rect_L7.2mm_W5.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,399-5905-ND,,
C2,1u,Capacitor_THT:C_Rect_L7.2mm_W5.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,399-5455-1-ND,,
R11,470K,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,13-MFR-25FTE52-470KCT-ND,,
BT1,BC2032-E2,ECG_Footprints:MPD_BC2032-E2,BC2032-E2-ND,,
J5,Conn_01x02,ECG_Footprints:691137710002,36-232-ND,,
J6,Conn_01x02,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,2057-PH1-02-UA-ND,,
"J1,J2",Conn_01x03,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,732-5316-ND,,
"J3,J4",Conn_01x15,Connector_PinHeader_2.54mm:PinHeader_1x15_P2.54mm_Vertical,2057-PH1-15-UA-ND,,
J8,Conn_02x05_Odd_Even,Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical,2057-PH2-10-UA-ND,,
"J11,J12,J13,J14,J15",Shunt block,,S9341-ND,,
S1,SLW-118562-4A-N-D,ECG_Footprints:SW_SLW-118562-4A-N-D,2223-SLW-118562-4A-N-D-ND,,
J9,Socket 1x15,Connector_PinHeader_2.54mm:PinHeader_1x15_P2.54mm_Vertical,PPPC151LFBN-RC,,
J10,Socket 1x15,Connector_PinSocket_2.54mm:PinSocket_1x15_P2.54mm_Vertical,PPPC151LFBN-RC,,
